noun,adjective,verb,preposition,phrase,latin_translation,genitive,accusative,gender,declination,english_translation,english_definition,german_translation,slovak_translation,german_definition,slovak_definition,spanish_translation,spanish_definition,norvegian_translation,norwegian_definition,icelandic_translation,icelandic_definition
1,0,0,0,0,Manus,Mani,Manum,m.,2nd,Hand,Part of the arm,Hand,Ručný,Teil des Arms,Časť ruky,Mano,Parte del brazo,Hånd,En del av armen,Hönd,Hluti af handleggnum
1,0,0,0,0,Margo,Margini,Marginem,m.,3rd,Edge,Boundary or limit,Rand,Okraj,Grenze oder Grenze,Hranica alebo limit,Borde,Límite o límite,Kant,Grense eller grense,Brún,Mörk eða takmörk
0,1,0,0,0,Masculinus,Masculini,Masculinum,,,Masculine,Relating to men,Männlich,Mužský,In Bezug auf Männer,Týkajúce sa mužov,Masculino,Relacionado con los hombres,Maskulin,Relatert til menn,Karlmannlegt,Sem tengjast körlum
1,0,0,0,0,Massa,Massae,Massam,f.,1st,Mass,Large quantity of matter,Masse,Masa,Große Menge an Materie,Veľké množstvo hmoty,Masa,Gran cantidad de materia,Masse,Stor mengde materie,Messa,Mikið magn af efni
1,0,0,0,0,Mastectomia,Mastectomiae,Mastectomiam,f.,1st,Mastectomy,Surgical removal of the breast,Mastektomie,Mastektómia,Chirurgische Entfernung der Brust,Chirurgické odstránenie prsníka,Mastectomía,Eliminación quirúrgica del seno,Mastektomi,Kirurgisk fjerning av brystet,Brjóstnám,Skurðaðgerð á brjóstinu
0,1,0,0,0,Mastitis,Mastitidis,Mastitidem,,,Mastitis,Inflammation of the breast,Mastitis,Mastitída,Brustentzündung,Zápal prsníka,Mastitis,Inflamación del seno,Mastitt,Betennelse i brystet,Júgurbólga,Bólga í brjóstinu
1,0,0,0,0,Mastoideus,Mastoidei,Mastoideum,m.,2nd,Mastoid,Part of the skull behind the ear,Mastoid,Mastoid,Teil des Schädels hinter dem Ohr,Časť lebky za uchom,Mastoides,Parte del cráneo detrás de la oreja,Mastoid,En del av hodeskallen bak øret,Mastoid,Hluti af höfuðkúpunni á bak við eyrað
1,0,0,0,0,Mastopathia,Mastopathiae,Mastopathiam,f.,1st,Mastopathy,Breast tissue disease,Mastopathie,Mastopatia,Brustgewebeerkrankung,Ochorenie prsníka,Mastopatía,Enfermedad del tejido mamario,Mastopati,Brystvevssykdom,Mastopathy,Brjóstvefssjúkdómur
1,0,0,0,0,Mater,Materis,Mater,f.,3rd,Mother,The female parent,Mutter,Matka,Der weibliche Elternteil,Rodička,Madre,La madre femenina,Mor,Den kvinnelige forelderen,Móðir,Kvenkyns foreldri
0,0,0,0,1,Dura mater,Dura materis,Dura materem,,3rd,Dura mater,,Dura Mater,Dura mater,,,Dura,,Dura mater,,Dura Mater,
0,0,0,0,1,Pia mater,Pia materis,Pia materem,,3rd,Pia mater,,Pia Mater,Pia mater,,,Piamadre,,Pia mater,,Pia Mater,
1,0,0,0,0,Maxilla,Maxillae,Maxillam,f.,1st,Maxilla,Upper jawbone,Oberkiefer,Maxilla,Upper Jawbone,Horná čeľusť,Maxilar superior,Jawbone de la parte superior,Maxilla,Øvre kjeveben,Maxilla,Efri kjálkabein
0,1,0,0,0,Maxillaris,Maxillaris,Maxillarem,,,Maxillary,Relating to the maxilla,Oberkiefer,Maxilárny,Im Zusammenhang mit dem Oberkiefer,Týkajúce sa maxily,Maxilar,Relacionado con el maxilar,Maxillary,Relatert til maxilla,Maxillary,Sem tengjast maxilla
1,0,0,0,0,Maximus,Maximi,Maximum,m.,2nd,Maximum,The greatest degree,Maximal,Maximálny,Der größte Abschluss,Najväčší titul,Máximo,El mayor grado,Maksimum,Den største graden,Hámark,Mesta gráðu
1,0,0,0,0,Meatus,Meati,Meatum,m.,2nd,Meatus,Passage or channel,Meatus,Mäso,Passage oder Kanal,Priechod alebo kanál,Meescato,Pasaje o canal,Kjøtt,Passasje eller kanal,Meatus,Yfirferð eða rás
0,0,0,0,1,Meatus acusticus,Meatus acustici,Meatum acusticum,,2nd,Audiory meatus,,Audiory Meatus,Audiory mäso,,,Meato audior,,Audiory Meatus,,Audiory Meatus,
0,1,0,0,0,Medialis,Medialis,Medialem,,,Medial,Located at the middle,Medial,Stredný,Befindet sich in der Mitte,Nachádza sa uprostred,Medio,Ubicado en el medio,Medial,Ligger i midten,Medial,Staðsett á miðjunni
1,0,0,0,0,Medianus,Mediani,Medianum,m.,2nd,Median,Central line or position,Mittlere,Stredný,Zentrallinie oder Position,Centrálna čiara alebo poloha,Mediana,Línea o posición central,Median,Sentral linje eller stilling,Miðgildi,Miðlína eða staða
1,0,0,0,0,Medicamentum,Medicamenti,Medicamentum,n.,2nd,Medication,Substance used for treatment,Medikamente,Liek,Substanz zur Behandlung verwendet,Látka používaná na liečbu,Medicamento,Sustancia utilizada para el tratamiento,Medisiner,Stoff som brukes til behandling,Lyf,Efni notað til meðferðar
1,0,0,0,0,Medicus,Medici,Medicium,m.,2nd,Physician,Doctor of medicine,Arzt,Lekár,Doktor der Medizin,Lekár medicíny,Médico,Doctor en medicina,Lege,Lege i medisin,Læknir,Doctor of Medicine
0,1,0,0,0,Medius,Medii,Medium,,,Middle,Located in the center,Mitte,Stredný,Befindet sich in der Mitte,Nachádza sa v strede,Medio,Ubicado en el centro,Midt,Ligger i sentrum,Miðja,Staðsett í miðjunni
1,0,0,0,0,Medulla,Medullae,Medullam,f.,1st,Medulla,Central part of an organ,Mark,Mokra,Zentraler Teil eines Organs,Ústredná časť orgánu,Médula,Parte central de un órgano,Medulla,Sentral del av et orgel,Medulla,Miðhluti líffæra
0,0,0,0,1,Medulla oblongata,Medulla oblongatae,Medullam oblongatam,,1st,Medulla oblongata,,Medulla oblongata,Medulla oblongata,,,Medulla oblongata,,Medulla oblongata,,Medulla oblongata,
0,0,0,0,1,Medulla spinalis,Medullae spinalis,Medullam spinalem,,3rd,Spinal cord,,Rückenmark,Miecha,,,Médula espinal,,Ryggmarg,,Mænu,
1,0,0,0,0,Megalocardia,Megalocardiae,Megalocardiām,f.,1st,Megalocardia,Abnormally enlarged heart,Megalokardie,Megalokardia,Ungewöhnlich vergrößertes Herz,Abnormálne zväčšené srdce,Megalocardia,Corazón anormalmente agrandado,Megalocardia,Unormalt forstørret hjerte,Megalocardia,Óeðlilega stækkað hjarta
1,0,0,0,0,Melanoma,Melanomae,Melanoma,f.,1st,Melanoma,Malignant tumor of pigment-producing cells,Melanom,Melanóm,Bösartiger Tumor von Pigment-produzierenden Zellen,Malígny nádor buniek produkujúcich pigment,Melanoma,Tumor maligno de células productoras de pigmento,Melanom,Ondartet svulst av pigmentproduserende celler,Sortuæxli,Illkynja æxli af litarefni framleiðandi frumna
0,1,0,0,0,Melior,Melioris,Melior,,,Better,Superior in quality,Besser,Lepší,Qualität überlegen,Vynikajúca kvalita,Mejor,Superior en calidad,Bedre,Overlegen kvalitet,Betri,Yfirburði í gæðum
1,0,0,0,0,Mellitus,Melliti,Mellitum,m.,2nd,Sweet,Often used for diabetes mellitus,Süß,Sladký,Oft für Diabetes mellitus verwendet,Často sa používa na diabetes mellitus,Dulce,A menudo utilizado para diabetes mellitus,Søt,Ofte brukt til diabetes mellitus,Sætur,Oft notað við sykursýki
0,0,0,0,1,Diabetes mellitus,Diabetes melliti,Diabetem mellitus,,2nd,Diabetes mellitus,,Diabetes mellitus,Diabetes mellitus,,,Diabetes mellitus,,Diabetes mellitus,,Sykursýki,
1,0,0,0,0,Membrana,Membranae,Membranam,f.,1st,Membrane,Thin layer of tissue,Membran,Membrána,Dünne Gewebeschicht,Tenká vrstva tkaniva,Membrana,Capa delgada de tejido,Membran,Tynt lag av vev,Himna,Þunnt lag af vefjum
1,0,0,0,0,Membrum,Membri,Membrum,n.,2nd,Limb,Extremity of the body,Glied,Končatina,Extremität des Körpers,Končatina,Miembro,Extremidad del cuerpo,Lem,Ekstremitet av kroppen,Útlim,Útlimum líkamans
1,0,0,0,0,Meninx,Meninx,Meninx,f.,5th,Meninges,Membranes covering the brain and spinal cord,Hirnhaut,Meningy,"Membranen, die das Gehirn und das Rückenmark bedecken",Membrány pokrývajúce mozog a miechu,Meninges,Membranas que cubren el cerebro y la médula espinal,Meninges,Membraner som dekker hjernen og ryggmargen,Heilahimnur,Himnur sem hylja heila og mænu
1,0,0,0,0,Meninges,Meningesei,Meningeses,f.,5th,Meninges,Layers of tissue around the brain,Hirnhaut,Meningy,Gewebeschichten um das Gehirn,Vrstvy tkaniva okolo mozgu,Meninges,Capas de tejido alrededor del cerebro,Meninges,Lag med vev rundt hjernen,Heilahimnur,Lag af vefjum umhverfis heilann
0,1,0,0,0,Meningitis,Meningitidis,Meningitidem,,,Meningitis,Inflammation of the meninges,Meningitis,Meningitída,Entzündung der Meninges,Zápal meningov,Meningitis,Inflamación de los meninges,Hjernehinnebetennelse,Betennelse i hjernehinnene,Heilahimnubólga,Bólga í heilahimnum
1,0,0,0,0,Mentha,Menthae,Mentham,f.,1st,Mint,Aromatic plant used in food,Minze,Mincovňa,"Aromatische Pflanze, die in Lebensmitteln verwendet wird",Aromatická rastlina používaná v potravinách,Menta,Planta aromática utilizada en alimentos,Mynte,Aromatisk plante brukt i mat,Myntu,Arómatísk planta notuð í mat
0,1,0,0,0,Metacarpalis,Metacarpalis,Metacarpalem,,,Metacarpal,Relating to the bones of the hand,Mittelhandknochen,Metakarpal,In Bezug auf die Handknochen der Hand,Týkajúce sa kostí ruky,Metacarpiano,Relacionado con los huesos de la mano,Metacarpal,Knyttet til beinene i hånden,Metacarpal,Sem tengjast beinum handar
1,0,0,0,0,Metacarpophalangeus,Metacarpophalangei,Metacarpophalangeum,m.,2nd,Metacarpophalangeal,Joint between the hand and fingers,Metacarpophalangeal,Metacarpofalangálny,Gelenk zwischen Hand und Fingern,Spoj medzi rukou a prstami,Metacarpofalángico,Articulación entre la mano y los dedos,Metacarpophalangeal,Ledd mellom hånden og fingrene,Metacarpophalangeal,Samskeyti milli handar og fingra
0,1,0,0,0,Metatarsalis,Metatarsalis,Metatarsalem,,,Metatarsal,Relating to the bones of the foot,Mittelfuß,Metatarzálny,In Bezug auf die Fußknochen,Týkajúce sa kostí chodidla,Metatarsiano,Relacionado con los huesos del pie,Metatarsal,Relatert til fotens bein,Metatarsal,Sem tengjast beinum fótanna
1,0,0,0,0,Methodus,Methodi,Methodum,m.,2nd,Method,System of procedures,Verfahren,Metóda,Verfahrenssystem,Systém postupov,Método,Sistema de procedimientos,Metode,Prosedyresystem,Aðferð,Verklagskerfi
1,0,0,0,0,Metrodynia,Metrodyniae,Metrodyniam,f.,1st,Uterine pain,Pain in the uterus,Uterusschmerzen,Bolesť maternice,Schmerzen im Gebärmutter,Bolesť v maternici,Dolor uterino,Dolor en el útero,Livmorsmerter,Smerter i livmoren,Verkir í legi,Sársauki í leginu
1,0,0,0,0,Metrorrhagia,Metrorrhagiae,Metrorrhagiam,f.,1st,Uterine bleeding,Abnormal bleeding from the uterus,Uterusblutung,Krvácanie z maternice,Abnormale Blutungen aus der Gebärmutter,Abnormálne krvácanie z maternice,Sangrado uterino,Sangrado anormal del útero,Livmorblødning,Unormal blødning fra livmoren,Legi blæðingar,Óeðlilegar blæðingar frá leginu
1,0,0,0,0,Micrencephalia,Micrencephaliae,Micrencephaliam,f.,1st,Microcephaly,Condition of a small brain,Mikrozephalie,Mikrocefália,Zustand eines kleinen Gehirns,Stav malého mozgu,Microcefalia,Condición de un cerebro pequeño,Mikrocephaly,Tilstanden til en liten hjerne,Öræfing,Ástand lítillar heila
1,0,0,0,0,Microglossia,Microglossiae,Microglossiām,f.,1st,Microglossia,Abnormally small tongue,Mikroglossie,Mikroglossia,Ungewöhnlich kleine Zunge,Neobvykle malý jazyk,Microglosia,Lengua anormalmente pequeña,Mikroglossia,Unormalt liten tunge,Microglossia,Óeðlilega lítil tunga
0,1,0,0,0,Micronodularis,Micronodularis,Micronodularem,,,Micronodular,Having small nodules,Mikronodular,Mikronodulárny,Kleine Knötchen haben,Mať malé uzliny,Micronodular,Tener pequeños nódulos,Mikronodulær,Har små knuter,Míkronodular,Með litla hnúta
1,0,0,0,0,Microphthalmia,Microphthalmiae,Microphthalmiam,f.,1st,Microphthalmia,Abnormally small eyes,Mikrophthalmie,Mikroftalmia,Ungewöhnlich kleine Augen,Abnormálne malé oči,Microftalmia,Ojos anormalmente pequeños,Mikroftalmi,Unormalt små øyne,Microphthalmia,Óeðlilega lítil augu
0,0,1,0,0,Migrans,Migrantis,Migranem,,3rd,Migration,Moving from one place to another,Migration,Migrácia,Von einem Ort zum anderen bewegen,Prejdite sa z jedného miesta na druhé,Migración,Moverse de un lugar a otro,Migrasjon,Flytter fra et sted til et annet,Fólksflutningur,Að flytja frá einum stað til annars
1,0,0,0,0,Minimus,Minimi,Minimum,m.,2nd,Smallest,The least in size,Kleinste,Najmenší,Die geringste Größe,Najmenej vo veľkosti,Pequeñísimo,El menor tamaño,Minste,Minst i størrelse,Minnsta,Það minnsta að stærð
1,0,0,0,0,Minor,Minoris,Minorem,m.,3rd,Minor,Smaller or lesser,Unerheblich,Menší,Kleiner oder weniger,Menšie alebo menšie,Menor,Más pequeño o menor,Mindreårig,Mindre eller mindre,Minniháttar,Minni eða minna
0,1,0,0,0,Mollis,Mollis,Mollem,,,Soft,Having a smooth texture,Weich,Mäkký,Eine glatte Textur haben,Mať hladkú textúru,Suave,Tener una textura suave,Myk,Å ha en jevn tekstur,Mjúkt,Að hafa slétt áferð
0,1,0,0,0,Monarthitis,Monarthitidis,Monarthitidem,,,Monarthritis,Inflammation of a single joint,Monarthritis,Monartritída,Entzündung eines einzelnen Gelenks,Zápal jedného kĺbu,Monartritis,Inflamación de una sola articulación,Monartritt,Betennelse av et enkelt ledd,Monirthritis,Bólga í einum liðum
0,1,0,0,0,Monocularis,Monocularis,Monocularem,,,Monocular,Relating to one eye,Monokular,Monokulárny,In Bezug auf ein Auge,Týkajúce sa jedného oka,Monóculo,Relacionado con un ojo,Monokulær,Relatert til det ene øyet,Einlyft,Sem tengjast öðru auga
1,0,0,0,0,Morbilli,Morbillorum,Morbillos,m.,2nd,Measles,Contagious viral infection,Masern,Osýpky,Ansteckende Virusinfektion,Nákazlivá vírusová infekcia,Sarampión,Infección viral contagiosa,Meslinger,Smittsom virusinfeksjon,Mislingar,Smitandi veirusýking
1,0,0,0,0,Morbillosus,Morbillosi,Morbillosum,m.,2nd,Measles-like,Resembling measles,Masernartig,Podobný osýpkam,Masern ähneln,Pripomínajúci osýpky,Como sarampión,Parecido al sarampión,Meslinglignende,Ligner meslinger,Mislingar eins,Líkist mislingum
1,0,0,0,0,Morbus,Morbi,Morbem,m.,2nd,Disease,General term for illness,Krankheit,Choroba,Allgemeiner Begriff für Krankheit,Všeobecný termín pre chorobu,Enfermedad,Término general para enfermedades,Sykdom,Generelt sykdomstid,Sjúkdómur,Almennt hugtak fyrir veikindi
1,0,0,0,0,Mors,Mortis,Mortem,f.,3rd,Death,End of life,Tod,Úmrtnosť,Lebensende,Koniec života,Muerte,Fin de la vida,Død,Livets slutt,Dauði,Lífslok
0,0,0,0,1,Mors in tabula,Mors in tabulae,Mors in tabulam,,1st,Death on the table,,Tod auf dem Tisch,Smrť na stole,,,Muerte en la mesa,,Døden på bordet,,Dauði á borðinu,
1,0,0,0,0,Multi,Multi,m./f.,3rd,Many,Large number,viele,Große Anzahl,Veľké množstvo,viele,vele,Gran número,viele,Stort antall,Viele,Mikill fjöldi,Viele
0,1,0,0,0,Multifocalis,Multifocalis,Multifocalem,,,Multifocal,Having multiple focal points,Multifokal,Multifokálny,Mehrere Brennpunkte haben,Mať viac ohniskových bodov,Multifocal,Tener múltiples puntos focales,Multifokal,Har flere fokuspunkter,Multifocal,Að hafa marga þungamiðja
0,1,0,0,0,Multiformis,Multiformis,Multiformem,,,Multiform,Having many forms,Multiform,Multiforma,Viele Formen haben,Mať veľa foriem,Multiforme,Tener muchas formas,Multiform,Har mange former,Multiform,Hafa mörg form
0,0,0,0,1,Multipara (feminine),Multiparae,Multiparam,,1st,Multipara,,Multipara,Viacnásobná,,,Multipara,,Multipara,,Multipara,
1,0,0,0,0,Multiplex,Multiplicis,Multiplicem,m.,3rd,Multiple,Consisting of several,Mehrere,Viacnásobný,Bestehend aus mehreren,Pozostávajúce z niekoľkých,Múltiple,Que consiste en varios,Flere,Bestående av flere,Margfeldi,Samanstendur af nokkrum
0,1,0,0,0,Muscularis,Muscularis,Muscularem,,,Muscular,Relating to muscles,Muskulös,Svalnatý,In Bezug auf Muskeln,Týkajúce sa svalov,Muscular,Relacionado con los músculos,Muskuløs,Relatert til muskler,Vöðvastæltur,Sem tengjast vöðvum
0,1,0,0,0,Musculocutaneus,Musculocutanei,Musculocutaneum,,,Musculocutaneous,Relating to both muscles and skin,Muskulokutan,Svahocutánny,In Bezug auf Muskeln und Haut,Týkajúce sa svalov aj pokožky,Musculocutáneo,Relacionado con los músculos y la piel,Muskulokutan,Relatert til både muskler og hud,Stoðkerfis,Sem tengjast bæði vöðvum og húð
1,0,0,0,0,Musculus,Musculi,Musculum,m.,2nd,Muscle,Tissue that contracts to produce movement,Muskel,Svaly,"Gewebe, das sich zur Erzeugung von Bewegungen zusammenzieht","Tkanivo, ktoré sa uzatvára na výrobu pohybu",Músculo,Tejido que se contrae para producir movimiento,Muskel,Vev som trekker seg sammen for å produsere bevegelse,Vöðvi,Vefur sem dregst saman um að framleiða hreyfingu
1,0,0,0,0,Myalgia,Myalgiae,Myalgiam,f.,1st,Myalgia,Pain in muscles,Myalgie,Myalgia,Schmerzen in den Muskeln,Bolesť vo svaloch,Mialgia,Dolor en los músculos,Myalgi,Smerter i muskler,Myalgia,Sársauki í vöðvum
0,1,0,0,0,Myelitis,Myelitidis,Myelitidem,,,Myelitis,Inflammation of the spinal cord,Myelitis,Myelitída,Entzündung des Rückenmarks,Zápal miechy,Mielitis,Inflamación de la médula espinal,Myelitt,Betennelse i ryggmargen,Myelitis,Bólga í mænunni
0,1,0,0,0,Myocarditis,Myocarditidis,Myocarditidem,,,Myocarditis,Inflammation of the heart muscle,Myokarditis,Mýto,Entzündung des Herzmuskels,Zápal srdcového svalu,Miocarditis,Inflamación del músculo cardíaco,Myokarditt,Betennelse i hjertemuskelen,Hjartavöðvabólga,Bólga í hjartavöðvanum
1,0,0,0,0,Myocardium,Myocardii,Myocardium,n.,2nd,Myocardium,Heart muscle,Myokard,Myokard,Herzmuskel,Srdcový sval,Miocardio,Músculo cardíaco,Myokard,Hjertemuskel,Hjartavöðva,Hjartavöðvi
1,0,0,0,0,Myodynia,Myodyniae,Myodyniam,f.,1st,Myodynia,Pain in the muscles,Myodynie,Myodynia,Schmerzen in den Muskeln,Bolesť vo svaloch,Miodinia,Dolor en los músculos,Myodynia,Smerter i musklene,Myodynia,Sársauki í vöðvunum
1,0,0,0,0,Myoma,Myomae,Myomam,f.,1st,Myoma,Benign tumor of muscle tissue,Myoma,Myóm,Gutartiger Tumor des Muskelgewebes,Benígny nádor svalového tkaniva,Myoma,Tumor benigno de tejido muscular,Myoma,Godartet svulst av muskelvev,Myoma,Góðkynja æxli í vöðvavef
1,0,0,0,0,Myometrium,Myometrii,Myometrium,n.,2nd,Myometrium,Muscle layer of the uterus,Myometrium,Myometria,Muskelschicht der Gebärmutter,Svalová vrstva maternice,Miometrio,Capa muscular del útero,Myometrium,Muskelsjiktet i livmoren,Myometrium,Vöðvalag legsins
0,1,0,0,0,Myositis,Myositidis,Myositidem,,,Myositis,Inflammation of muscle tissue,Myositis,Myozitída,Entzündung des Muskelgewebes,Zápal svalového tkaniva,Miositis,Inflamación del tejido muscular,Myositis,Betennelse av muskelvev,Myositis,Bólga í vöðvavef
1,0,0,0,0,Myospasmus,Myospasmi,Myospasmum,m.,2nd,Myospasm,Muscle spasm,Myospasmus,Myospazmus,Muskelkrampf,Svalová kŕč,Mioespasmo,Espasmo muscular,Myospasme,Muskelspasme,Myospasm,Vöðvakrampa
1,0,0,0,0,Myotomia,Myotomiae,Myotomiām,f.,1st,Myotomy,Surgical cutting of a muscle,Myotomie,Myotómia,Chirurgisches Schneiden eines Muskels,Chirurgické rezanie svalu,Miotomía,Corte quirúrgico de un músculo,Myotomi,Kirurgisk skjæring av en muskel,Myotomy,Skurðaðgerð á vöðva
1,0,0,0,0,Myotonia,Myotoniae,Myotoniām,f.,1st,Myotonia,Condition of muscle rigidity,Myotonie,Myotónia,Zustand der Muskelsteifigkeit,Stav tuhosti svalov,Miotonia,Condición de rigidez muscular,Myotoni,Tilstand av muskelstivhet,Myotonia,Skilyrði stífni vöðva
0,1,0,0,0,Narcosis,Narcosis,Narcosim,,,Narcosis,State of induced unconsciousness,Narkose,Narkóza,Zustand der induzierten Bewusstlosigkeit,Stav indukovaného bezvedomia,Narcosis,Estado de inconsciencia inducida,Narkose,Tilstand av indusert bevisstløshet,Narcosis,Ástand af völdum meðvitundarleysi
0,1,0,0,0,Nasalis,Nasalis,Nasalem,,,Nasal,Relating to the nose,Nasal,Nosný,In Bezug auf die Nase,Týkajúce sa nosa,Nasal,Relacionado con la nariz,Nasal,Knyttet til nesen,Nef,Sem tengjast nefinu
0,1,0,0,0,Nasofrontalis,Nasofrontalis,Nasofrontalem,,,Nasofrontal,Relating to both nose and forehead,Nasofrontal,Nosa,In Bezug auf Nase und Stirn,Týkajúce sa nosa aj na čelo,Nas nofrontal,Relacionado con la nariz y la frente,Nasofrontal,Relatert til både nese og panne,NASOFROSTAL,Sem tengjast bæði nefi og enni
1,0,0,0,0,Nasus,Nasi,Nasum,m.,2nd,Nose,Part of the face for breathing and smell,Nase,Zjazd,Teil des Gesichts zum Atmen und Geruch,Časť tváre na dýchanie a vôňu,Nariz,Parte de la cara para respirar y oler,Nese,En del av ansiktet for pusting og lukt,Nef,Hluti af andliti fyrir öndun og lykt
1,0,0,0,0,Necrophobia,Necrophobiae,Necrophobiam,f.,1st,Necrophobia,Fear of death or corpses,Nekrophobie,Nekrofóbia,Angst vor Tod oder Leichen,Strach zo smrti alebo mŕtvoly,Necrofobia,Miedo a la muerte o cadáveres,Nekrofobi,Frykt for død eller lik,Necrophobia,Ótti við dauða eða lík
0,1,0,0,0,Necrosis,Necrosis,Necrosim,,,Necrosis,Death of cells or tissues,Nekrose,Nekróza,Tod von Zellen oder Geweben,Smrť buniek alebo tkanív,Necrosis,Muerte de células o tejidos,Nekrose,Død av celler eller vev,Drep,Dauði frumna eða vefja
1,0,0,0,0,Neonatus,Neonati,Neonatum,m.,2nd,Neonate,Newborn baby,Neugeborene,Novorodenec,Neugeborenes Baby,Novorodenec,Neonato,Bebé recién nacido,Nyfødt,Nyfødt baby,Nýburi,Nýfætt barn
1,0,0,0,0,Neoplasma,Neoplasmae,Neoplasmam,f.,1st,Neoplasm,Abnormal growth of cells,Neoplasma,Novorodenec,Abnormales Wachstum von Zellen,Abnormálny rast buniek,Neoplasma,Crecimiento anormal de las células,Neoplasma,Unormal vekst av celler,Æxli,Óeðlilegur vöxtur frumna
0,1,0,0,0,Nephritis,Nephritidis,Nephritidem,,,Nephritis,Inflammation of the kidneys,Nephritis,Nefritída,Entzündung der Nieren,Zápal obličiek,Nefritis,Inflamación de los riñones,Nefritis,Betennelse i nyrene,Nefritis,Bólga í nýrum
1,0,0,0,0,Nephromegalia,Nephromegaliae,Nephromegaliām,f.,1st,Nephromegaly,Enlargement of the kidneys,Nephromegalie,Nefromegaly,Vergrößerung der Nieren,Rozšírenie obličiek,Nefromegalia,Agrandamiento de los riñones,Nefromegali,Utvidelse av nyrene,Nefrómaly,Stækkun nýrna
0,1,0,0,0,Nephropexis,Nephropexis,Nephropexim,,,Nephropexy,Surgical fixation of a kidney,Nephropexie,Nefropexy,Chirurgische Fixierung einer Niere,Chirurgická fixácia obličiek,Nefropexia,Fijación quirúrgica de un riñón,Nefropexy,Kirurgisk fiksering av en nyre,Nefrópexy,Skurðaðgerð á nýrum
0,1,0,0,0,Nephrosis,Nephrosis,Nephrosim,,,Nephrosis,Chronic kidney disease,Nephrose,Nefróza,Chronische Nierenerkrankung,Chronické ochorenie obličiek,Nefrosis,Enfermedad renal crónica,Nefrose,Kronisk nyresykdom,Nýrnasjúkdómur,Langvinn nýrnasjúkdómur
1,0,0,0,0,Nervus,Nervi,Nervum,m.,2nd,Nerve,Bundle of fibers transmitting signals,Nerv,Nerv,"Bündel von Fasern, die Signale übertragen",Zväzok vlákien prenášajúcich signály,Nervio,Pulto de fibras que transmiten señales,Nerve,Bunt av fibre overførende signaler,Taug,Knippi trefja sem sendir merki
0,1,0,0,0,Neuritis,Neuritidis,Neuritim,,,Neuritis,Inflammation of a nerve,Neuritis,Neuritída,Entzündung eines Nervs,Zápal nervu,Neuritis,Inflamación de un nervio,Nevritt,Betennelse i en nerve,Taugabólga,Bólga í taug
1,0,0,0,0,Neurologia,Neurologiae,Neurologiam,f.,1st,Neurology,Study of the nervous system,Neurologie,Neurológia,Untersuchung des Nervensystems,Štúdium nervového systému,Neurología,Estudio del sistema nervioso,Nevrologi,Studie av nervesystemet,Taugafræði,Rannsókn á taugakerfinu
1,0,0,0,0,Neuromyopathia,Neuromyopathiae,Neuromyopathiam,f.,1st,Neuromyopathy,Disorder affecting both nerves and muscles,Neuromyopathie,Neuromyopatia,"Störung, die sowohl Nerven als auch Muskeln beeinflusst",Porucha ovplyvňujúca nervy aj svaly,Neuromiopatía,Trastorno que afecta tanto a los nervios como a los músculos,Neuromyopati,Lidelse som påvirker både nerver og muskler,Neuromyopathy,Röskun sem hefur áhrif á bæði taugar og vöðva
1,0,0,0,0,Niger,Nigri,Nigrum,m.,2nd,Black,Dark color,Schwarz,Čierny,Dunkle Farbe,Tmavá farba,Negro,Color oscuro,Svart,Mørk farge,Svartur,Dökkur litur
1,0,0,0,0,Nodus,Nodi,Nodum,m.,2nd,Knot,Swelling or lump,Knoten,Uzol,Schwellung oder Klumpen,Opuch,Nudo,Hinchazón o bulto,Knute,Hevelse eller klump,Hnútur,Bólga eða moli
1,0,0,0,0,Nonus,Noni,Nonum,m.,2nd,Ninth,Position nine,Neunte,Deviaty,Position neun,Pozícia deväť,Noveno,Posición nueve,Niende,Stilling ni,Níundi,Staða níu
1,0,0,0,0,Nucleus,Nuclei,Nucleum,m.,2nd,Nucleus,Center of a cell,Kern,Jadro,Zentrum einer Zelle,Stred cely,Núcleo,Centro de una celda,Kjerne,Sentrum av en celle,Kjarna,Miðja klefa
1,0,0,0,0,Numerus,Numeri,Numerum,m.,2nd,Number,Mathematical value,Nummer,Počet,Mathematischer Wert,Matematická hodnota,Número,Valor matemático,Tall,Matematisk verdi,Númer,Stærðfræðilegt gildi
0,1,0,0,0,Nutricius,Nutricii,Nutricium,,,Nutritive,Relating to nourishment,Nährstoff,Výživný,In Bezug auf Nahrung,Týkajúce sa výživy,Nutritivo,Relacionado con la alimentación,Næringsrikt,Relatert til næring,Næringarefni,Sem tengjast næringu
1,0,0,0,0,Obesitas,Obesitasis,Obesitatem,f.,3rd,Obesity,Excess body fat,Fettleibigkeit,Obezita,Überschüssiges Körperfett,Prebytočný telesný tuk,Obesidad,Exceso de grasa corporal,Overvekt,Overflødig kroppsfett,Offita,Umfram líkamsfitu
1,0,0,0,0,Obliquus,Obliqui,Obliquum,m.,2nd,Oblique,"Slanted or angled, typically referring to muscles",Schräg,Šikmý,"Schräg oder abgewinkelt, typischerweise bezieht sich auf Muskeln","Šikmé alebo šikmé, zvyčajne odkazujúce na svaly",Oblicuo,"Inclinado o en ángulo, típicamente refiriéndose a los músculos",Skrå,"Skrå eller vinklet, som vanligvis refererer til muskler",Ská,"Hallandi eða horn, sem venjulega vísar til vöðva"
