muscle_region_en,muscle_region_sk,muscle_region_ge,muscle_category_en,muscle_category_sk,muscle_category_ge,latin_muscle_name,english_muscle_name,muscle_part,innervation,blood_supply,origo,insercio,movement_function
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Forearm - posterior compartment, deep layer","Zadný svalový oddiel predlaktia - hlboká vrstva",Hintere Unterarmmuskeln (tiefe Schicht),Musculus abductor pollicis longus,Abductor pollicis longus muscle,,Posterior interosseous nerve,Posterior interosseous artery,Posterior surfaces of radius ulna and interosseous membrane,Base of metacarpal I,Abducts thumb
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Forearm - posterior compartment, deep layer","Zadný svalový oddiel predlaktia - hlboká vrstva",Hintere Unterarmmuskeln (tiefe Schicht),Musculus extensor pollicis brevis,Extensor pollicis brevis muscle,,Posterior interosseous nerve,Posterior interosseous artery,Posterior surface of radius and interosseous membrane,Base of proximal phalanx of thumb,Extends thumb at MCP joint
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Forearm - posterior compartment, deep layer","Zadný svalový oddiel predlaktia - hlboká vrstva",Hintere Unterarmmuskeln (tiefe Schicht),Musculus extensor pollicis longus,Extensor pollicis longus muscle,,Posterior interosseous nerve,Posterior interosseous artery,Posterior surface of ulna and interosseous membrane,Base of distal phalanx of thumb,Extends thumb
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Forearm - posterior compartment, deep layer","Zadný svalový oddiel predlaktia - hlboká vrstva",Hintere Unterarmmuskeln (tiefe Schicht),Musculus extensor indicis,Extensor indicis muscle,,Posterior interosseous nerve,Posterior interosseous artery,Posterior surface of ulna,Extensor expansion of digit II,Extends index finger
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Hand - thenar muscles, superficial layer","Ruka - svaly thenaru (palcového vankúšika), povrchová vrstva",Thenarmuskeln (oberflächliche Schicht),Musculus abductor pollicis brevis,Abductor pollicis brevis muscle,,Recurrent branch of median nerve,Superficial palmar branch of radial artery,Flexor retinaculum and scaphoid tubercle,Base of proximal phalanx of thumb,Abducts thumb
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Hand - thenar muscles","Ruka - svaly thenaru (palcového vankúšika)",Thenarmuskeln,Musculus flexor pollicis brevis,Flexor pollicis brevis muscle,"Caput superficiale, Caput profundum",Recurrent branch of median nerve; deep branch of ulnar nerve,Superficial palmar branch of radial artery,Flexor retinaculum and trapezium,Base of proximal phalanx of thumb,Flexes thumb
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Hand - thenar muscles, deep layer","Ruka - svaly thenaru (palcového vankúšika), hlboká vrstva",Thenarmuskeln (tiefe Schicht),Musculus opponens pollicis,Opponens pollicis muscle,,Recurrent branch of median nerve,Superficial palmar branch of radial artery,Flexor retinaculum and trapezium,Lateral border of metacarpal I,Opposes thumb
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Hand - thenar muscles, deep layer","Ruka - svaly thenaru (palcového vankúšika), hlboká vrstva",Thenarmuskeln (tiefe Schicht),Musculus adductor pollicis,Adductor pollicis muscle,"Caput obliquum, Caput transversum",Deep branch of ulnar nerve,Deep palmar arch,Capitate and bases of metacarpals II-III and III,Base of proximal phalanx of thumb,Adducts thumb
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Hand - hypothenar muscles, superficial layer","Ruka - svaly hypothenaru (malého vankúšika), povrchová vrstva",Hypothenarmuskeln (oberflächliche Schicht),Musculus palmaris brevis,Palmaris brevis muscle,,Superficial branch of ulnar nerve,Superficial palmar arch,Palmar aponeurosis,Skin of hypothenar eminence,Wrinkles skin of hypothenar eminence
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Hand - hypothenar muscles, superficial layer","Ruka - svaly hypothenaru (malého vankúšika), povrchová vrstva",Hypothenarmuskeln (oberflächliche Schicht),Musculus abductor digiti minimi,Abductor digiti minimi muscle,,Deep branch of ulnar nerve,Deep palmar arch,Pisiform bone,Base of proximal phalanx of digit V,Abducts little finger
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Hand - hypothenar muscles, superficial layer","Ruka - svaly hypothenaru (malého vankúšika), povrchová vrstva",Hypothenarmuskeln (oberflächliche Schicht),Musculus flexor digiti minimi brevis,Flexor digiti minimi brevis muscle,,Deep branch of ulnar nerve,Deep palmar arch,Hook of hamate,Base of proximal phalanx of digit V,Flexes little finger
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Hand - hypothenar muscles, deep layer","Ruka - svaly hypothenaru (malého vankúšika), hlboká vrstva",Hypothenarmuskeln (tiefe Schicht),Musculus opponens digiti minimi,Opponens digiti minimi muscle,,Deep branch of ulnar nerve,Deep palmar arch,Hook of hamate,Medial border of metacarpal V,Opposes little finger
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Hand - central compartment, superficial layer","Ruka - svaly centrálneho oddielu ruky, povrchová vrstva",Zentrale Handmuskeln (oberflächliche Schicht),Musculi lumbricales,Lumbrical muscles,,Median nerve (I-II) and ulnar nerve (III-IV),Deep palmar arch,Tendons of flexor digitorum profundus,Extensor expansions of digits II-V,Flex MCP and extend IP joints
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Hand - central compartment, deep layer","Ruka - svaly centrálneho oddielu ruky, hlboká vrstva",Zentrale Handmuskeln (tiefe Schicht),Musculi interossei palmares,Palmar interossei muscles,,Deep branch of ulnar nerve,Deep palmar arch,Sides of metacarpals II IV V,Bases of proximal phalanges,Adduct fingers toward axial line
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Hand - central compartment, deep layer","Ruka - svaly centrálneho oddielu ruky, hlboká vrstva",Zentrale Handmuskeln (tiefe Schicht),Musculi interossei dorsales,Dorsal interossei muscles,,Deep branch of ulnar nerve,Deep palmar arch,Adjacent sides of metacarpals I-V,Bases of proximal phalanges,Abduct fingers away from axial line
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Hip - superficial gluteal muscles,"Bedro - povrchové svaly gluteálne",Oberflächliche Glutealmuskeln,Musculus gluteus maximus,Gluteus maximus muscle,,Inferior gluteal nerve,Inferior gluteal artery,Ilium sacrum and coccyx,Gluteal tuberosity and iliotibial tract,Extends and laterally rotates hip
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Hip - superficial gluteal muscles,"Bedro - povrchové svaly gluteálne",Oberflächliche Glutealmuskeln,Musculus gluteus medius,Gluteus medius muscle,,Superior gluteal nerve,Superior gluteal artery,Ilium between anterior and posterior gluteal lines,Greater trochanter,Abducts and medially rotates hip
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Hip - superficial gluteal muscles,"Bedro - povrchové svaly gluteálne",Oberflächliche Glutealmuskeln,Musculus gluteus minimus,Gluteus minimus muscle,,Superior gluteal nerve,Superior gluteal artery,Ilium between anterior and inferior gluteal lines,Greater trochanter,Abducts and medially rotates hip
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Hip - deep lateral rotators,"Bedro - hlboké laterálne rotátory",Tiefe Hüftrotatoren,Musculus piriformis,Piriformis muscle,,Nerve to piriformis (S1-S2),Superior and inferior gluteal arteries,Anterior surface of sacrum,Greater trochanter,Laterally rotates and abducts hip
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Hip - deep lateral rotators,"Bedro - hlboké laterálne rotátory",Tiefe Hüftrotatoren,Musculus obturatorius internus,Obturator internus muscle,,Nerve to obturator internus,Obturator artery,Internal surface of obturator membrane,Greater trochanter,Laterally rotates hip
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Hip - deep lateral rotators,"Bedro - hlboké laterálne rotátory",Tiefe Hüftrotatoren,Musculus gemellus superior,Superior gemellus muscle,,Nerve to obturator internus,Inferior gluteal artery,Ischial spine,Greater trochanter,Laterally rotates hip
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Hip - deep lateral rotators,"Bedro - hlboké laterálne rotátory",Tiefe Hüftrotatoren,Musculus gemellus inferior,Inferior gemellus muscle,,Nerve to quadratus femoris,Inferior gluteal artery,Ischial tuberosity,Greater trochanter,Laterally rotates hip
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Hip - deep lateral rotators,"Bedro - hlboké laterálne rotátory",Tiefe Hüftrotatoren,Musculus quadratus femoris,Quadratus femoris muscle,,Nerve to quadratus femoris,Medial circumflex femoral artery,Ischial tuberosity,Intertrochanteric crest,Laterally rotates and adducts hip
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Hip - deep lateral rotators,"Bedro - hlboké laterálne rotátory",Tiefe Hüftrotatoren,Musculus obturatorius externus,Obturator externus muscle,,Obturator nerve,Medial circumflex femoral artery,External surface of obturator membrane,Greater trochanter,Laterally rotates hip
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Thigh - anterior compartment,"Stehno - predný kompartment",Vordere Oberschenkelmuskeln,Musculus iliopsoas,Iliopsoas muscle,,Femoral nerve (iliacus) and lumbar plexus (psoas major),Lumbar and iliolumbar arteries,Lumbar vertebrae and iliac fossa,Lesser trochanter of femur,Flexes hip
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Thigh - anterior compartment,"Stehno - predný kompartment",Vordere Oberschenkelmuskeln,Musculus psoas major,Psoas major muscle,,Lumbar plexus branches,Lumbar arteries,Bodies and transverse processes of T12-L5,Lesser trochanter of femur,Flexes hip and trunk
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Thigh - anterior compartment,"Stehno - predný kompartment",Vordere Oberschenkelmuskeln,Musculus iliacus,Iliacus muscle,,Femoral nerve,Iliolumbar artery,Iliac fossa,Lesser trochanter of femur,Flexes hip
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Thigh - anterior compartment,"Stehno - predný kompartment",Vordere Oberschenkelmuskeln,Musculus sartorius,Sartorius muscle,,Femoral nerve,Femoral artery,Anterior superior iliac spine,Medial surface of tibia (pes anserinus),Flexes hip and knee
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Thigh - anterior compartment,"Stehno - predný kompartment",Vordere Oberschenkelmuskeln,Musculus quadriceps femoris,Quadriceps femoris muscle,"Rectus femoris, Vastus lateralis, Vastus medialis, Vastus intermedius",Femoral nerve,Femoral artery,Anterior inferior iliac spine and femur,Tibial tuberosity via patellar ligament,Extends knee
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Thigh - anterior compartment,"Stehno - predný kompartment",Vordere Oberschenkelmuskeln,Musculus articularis genus,Articularis genus muscle,,Femoral nerve,Femoral artery,Anterior distal femur,Suprapatellar bursa,Pulls suprapatellar bursa superiorly
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Thigh - medial compartment,"Stehno - mediálny kompartment",Mediale Oberschenkelmuskeln,Musculus pectineus,Pectineus muscle,,Femoral nerve (occasionally obturator nerve),Medial circumflex femoral artery,Pecten pubis,Pectineal line of femur,Adducts and flexes hip
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Thigh - medial compartment,"Stehno - mediálny kompartment",Mediale Oberschenkelmuskeln,Musculus adductor longus,Adductor longus muscle,,Obturator nerve,Obturator artery,Body of pubis,Middle third of linea aspera,Adducts thigh
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Thigh - medial compartment,"Stehno - mediálny kompartment",Mediale Oberschenkelmuskeln,Musculus adductor brevis,Adductor brevis muscle,,Obturator nerve,Obturator artery,Body and inferior ramus of pubis,Pectineal line and proximal linea aspera,Adducts thigh
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Thigh - medial compartment,"Stehno - mediálny kompartment",Mediale Oberschenkelmuskeln,Musculus adductor magnus,Adductor magnus muscle,"Pars adductoria, Pars hamstringa",Obturator nerve (pars adductoria) and tibial part of sciatic nerve (pars hamstringa),Obturator artery and profunda femoris artery,Inferior ramus of pubis and ischial tuberosity,Linea aspera and adductor tubercle,Adducts thigh and extends hip
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Thigh - medial compartment,"Stehno - mediálny kompartment",Mediale Oberschenkelmuskeln,Musculus gracilis,Gracilis muscle,,Obturator nerve,Medial circumflex femoral artery,Inferior ramus of pubis,Medial surface of tibia (pes anserinus),Adducts thigh and flexes knee
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Thigh - posterior compartment,"Stehno - zadný kompartment",Hintere Oberschenkelmuskeln,Musculus biceps femoris,Biceps femoris muscle,"Caput longum, Caput breve",Tibial nerve (caput longum) and common fibular nerve (caput breve),Perforating branches of profunda femoris artery,Ischial tuberosity and linea aspera,Head of fibula,Flexes knee and extends hip
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Thigh - posterior compartment,"Stehno - zadný kompartment",Hintere Oberschenkelmuskeln,Musculus semitendinosus,Semitendinosus muscle,,Tibial nerve,Perforating branches of profunda femoris artery,Ischial tuberosity,Medial surface of tibia (pes anserinus),Extends hip and flexes knee
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Thigh - posterior compartment,"Stehno - zadný kompartment",Hintere Oberschenkelmuskeln,Musculus semimembranosus,Semimembranosus muscle,,Tibial nerve,Perforating branches of profunda femoris artery,Ischial tuberosity,Posterior medial condyle of tibia,Extends hip and flexes knee
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Leg - anterior compartment,"Predkolenie - predný kompartment",Vordere Unterschenkelmuskeln,Musculus tibialis anterior,Tibialis anterior muscle,,Deep fibular nerve,Anterior tibial artery,Lateral condyle and shaft of tibia,Medial cuneiform and base of metatarsal I,Dorsiflexes and inverts foot
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Leg - anterior compartment,"Predkolenie - predný kompartment",Vordere Unterschenkelmuskeln,Musculus extensor hallucis longus,Extensor hallucis longus muscle,,Deep fibular nerve,Anterior tibial artery,Anterior surface of fibula,Distal phalanx of hallux,Extends great toe
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Leg - anterior compartment,"Predkolenie - predný kompartment",Vordere Unterschenkelmuskeln,Musculus extensor digitorum longus,Extensor digitorum longus muscle,,Deep fibular nerve,Anterior tibial artery,Lateral condyle of tibia and fibula,Middle and distal phalanges of digits II-V,Extends toes
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Leg - anterior compartment,"Predkolenie - predný kompartment",Vordere Unterschenkelmuskeln,Musculus fibularis tertius,Fibularis tertius muscle,,Deep fibular nerve,Anterior tibial artery,Distal fibula,Base of metatarsal V,Dorsiflexes and everts foot
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Leg - lateral compartment,"Predkolenie - laterálny kompartment",Laterale Unterschenkelmuskeln,Musculus fibularis longus,Fibularis longus muscle,,Superficial fibular nerve,Fibular artery,Head and lateral shaft of fibula,Base of metatarsal I and medial cuneiform,Everts and plantarflexes foot
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Leg - lateral compartment,"Predkolenie - laterálny kompartment",Laterale Unterschenkelmuskeln,Musculus fibularis brevis,Fibularis brevis muscle,,Superficial fibular nerve,Fibular artery,Distal lateral fibula,Base of metatarsal V,Everts foot
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,"Leg - posterior compartment, superficial layer","Predkolenie - zadný kompartment, povrchová vrstva",Oberflächliche hintere Unterschenkelmuskeln,Musculus gastrocnemius,Gastrocnemius muscle,"Caput mediale, Caput laterale",Tibial nerve,Posterior tibial artery and sural branches,Femoral condyles,Calcaneus via Achilles tendon,Plantarflexes foot and flexes knee
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,"Leg - posterior compartment, superficial layer","Predkolenie - zadný kompartment, povrchová vrstva",Oberflächliche hintere Unterschenkelmuskeln,Musculus soleus,Soleus muscle,,Tibial nerve,Posterior tibial artery and fibular artery,Posterior tibia and fibula,Calcaneus via Achilles tendon,Plantarflexes foot
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,"Leg - posterior compartment, superficial layer","Predkolenie - zadný kompartment, povrchová vrstva",Oberflächliche hintere Unterschenkelmuskeln,Musculus plantaris,Plantaris muscle,,Tibial nerve,Posterior tibial artery,Lateral supracondylar line of femur,Calcaneus,Weak plantarflexion
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,"Leg - posterior compartment, deep layer","Predkolenie - zadný kompartment, hlboká vrstva",Tiefe hintere Unterschenkelmuskeln,Musculus popliteus,Popliteus muscle,,Tibial nerve,Popliteal artery,Lateral femoral condyle and lateral meniscus,Posterior tibia,Unlocks knee
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,"Leg - posterior compartment, deep layer","Predkolenie - zadný kompartment, hlboká vrstva",Tiefe hintere Unterschenkelmuskeln,Musculus tibialis posterior,Tibialis posterior muscle,,Tibial nerve,Posterior tibial artery,Posterior tibia fibula and interosseous membrane,Tarsal bones,Plantarflexes and inverts foot
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,"Leg - posterior compartment, deep layer","Predkolenie - zadný kompartment, hlboká vrstva",Tiefe hintere Unterschenkelmuskeln,Musculus flexor hallucis longus,Flexor hallucis longus muscle,,Tibial nerve,Posterior tibial artery,Posterior fibula,Distal phalanx of hallux,Flexes great toe
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,"Leg - posterior compartment, deep layer","Predkolenie - zadný kompartment, hlboká vrstva",Tiefe hintere Unterschenkelmuskeln,Musculus flexor digitorum longus,Flexor digitorum longus muscle,,Tibial nerve,Posterior tibial artery,Posterior tibia,Distal phalanges of digits II-V,Flexes toes
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Foot - dorsal muscles,"Chodidlo - dorzálne svaly",Dorsale Fußmuskeln,Musculus extensor digitorum brevis,Extensor digitorum brevis muscle,,Deep fibular nerve,Dorsalis pedis artery,Superolateral calcaneus,Extensor tendons of digits II-IV,Extends toes
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,Foot - dorsal muscles,"Chodidlo - dorzálne svaly",Dorsale Fußmuskeln,Musculus extensor hallucis brevis,Extensor hallucis brevis muscle,,Deep fibular nerve,Dorsalis pedis artery,Calcaneus,Base of proximal phalanx of hallux,Extends great toe
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,"Foot - plantar muscles, layer I","Chodidlo - plantárne svaly, I vrstva",Plantare Fußmuskeln (I. Schicht),Musculus abductor hallucis,Abductor hallucis muscle,,Medial plantar nerve,Medial plantar artery,Medial process of calcaneal tuberosity,Base of proximal phalanx of hallux,Abducts and flexes great toe
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,"Foot - plantar muscles, layer I","Chodidlo - plantárne svaly, I vrstva",Plantare Fußmuskeln (I. Schicht),Musculus flexor digitorum brevis,Flexor digitorum brevis muscle,,Medial plantar nerve,Medial plantar artery,Medial process of calcaneal tuberosity,Middle phalanges of digits II-V,Flexes toes
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,"Foot - plantar muscles, layer I","Chodidlo - plantárne svaly, I vrstva",Plantare Fußmuskeln (I. Schicht),Musculus abductor digiti minimi,Abductor digiti minimi muscle,,Lateral plantar nerve,Lateral plantar artery,Lateral process of calcaneal tuberosity,Base of proximal phalanx of digit V,Abducts little toe
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,"Foot - plantar muscles, layer II","Chodidlo - plantárne svaly, II vrstva",Plantare Fußmuskeln (II. Schicht),Musculus quadratus plantae,Quadratus plantae muscle,,Lateral plantar nerve,Lateral plantar artery,Calcaneus,Tendon of flexor digitorum longus,Assists flexion of toes
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,"Foot - plantar muscles, layer II","Chodidlo - plantárne svaly, II vrstva",Plantare Fußmuskeln (II. Schicht),Musculi lumbricales,Lumbrical muscles,,Medial plantar nerve (I) and lateral plantar nerve (II-IV),Plantar metatarsal arteries,Tendons of flexor digitorum longus,Extensor expansions of digits II-V,Flex MCP and extend IP joints
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,"Foot - plantar muscles, layer III","Chodidlo - plantárne svaly, III vrstva",Plantare Fußmuskeln (III. Schicht),Musculus flexor hallucis brevis,Flexor hallucis brevis muscle,,Medial plantar nerve,Medial plantar artery,Cuboid and lateral cuneiform,Base of proximal phalanx of hallux,Flexes great toe
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,"Foot - plantar muscles, layer III","Chodidlo - plantárne svaly, III vrstva",Plantare Fußmuskeln (III. Schicht),Musculus adductor hallucis,Adductor hallucis muscle,"Caput obliquum, Caput transversum",Lateral plantar nerve,Lateral plantar artery,Bases of metatarsals II-IV and plantar ligaments,Base of proximal phalanx of hallux,Adducts great toe
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,"Foot - plantar muscles, layer III","Chodidlo - plantárne svaly, III vrstva",Plantare Fußmuskeln (III. Schicht),Musculus flexor digiti minimi brevis,Flexor digiti minimi brevis muscle,,Lateral plantar nerve,Lateral plantar artery,Base of metatarsal V,Base of proximal phalanx of digit V,Flexes little toe
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,"Foot - plantar muscles, layer IV","Chodidlo - plantárne svaly, IV vrstva",Plantare Fußmuskeln (IV. Schicht),Musculi interossei plantares,Plantar interossei muscles,,Lateral plantar nerve,Plantar metatarsal arteries,Sides of metatarsals III-V,Bases of proximal phalanges,Adduct toes
Muscles of the Lower Limb,Svaly dolnej končatiny,Muskulatur der unteren Extremität,"Foot - plantar muscles, layer IV","Chodidlo - plantárne svaly, IV vrstva",Plantare Fußmuskeln (IV. Schicht),Musculi interossei dorsales,Dorsal interossei muscles,,Lateral plantar nerve,Plantar metatarsal arteries,Adjacent sides of metatarsals I-V,Bases of proximal phalanges,Abduct toes
