term_category,latin_translation,latin_gender,latin_declension,latin_genitive,latin_accusative,english_translation,english_definition,german_translation,german_definition,slovak_translation,slovak_definition,synonyms_en,synonyms_de,synonyms_sk,related_terms,notes,noun,adjective,verb,preposition,phrase
,Pubicus,,,Pubici,Pubicum,Pubic,Relating to the pubic area,Scham,In Bezug auf den Schambereich,Publikácia,Týkajúce sa oblasti ochlpenia,,,,,,0,1,0,0,0
,Pudendum,n.,II,Pudendi,Pudendum,Genitalia,External sexual organs,Genitalien,Externe Sexualorgane,Genitálie,Vonkajšie sexuálne orgány,,,,,,1,0,0,0,0
,Pulvis,,,Pulveris,Pulverem,Dust,Fine dry particles,Staub,Feine trockene Partikel,Prach,Jemné suché častice,,,,,,0,1,0,0,0
,Purulentus,m.,II,Purulenti,Purulentum,Purulent,Containing pus,Astry,Eiter enthalten,Hnisavý,Obsahujúci hnis,,,,,,1,0,0,0,0
,Quantum,n.,II,Quanti,Quantum,Quantity,Amount or extent,Menge,Betrag oder Umfang,Množstvo,Suma alebo rozsah,,,,,,1,0,0,0,0
,Quartigravida (femina),,,,,Fourth-time pregnant woman,,Viertem Mal schwangere Frau,,Štvrtá tehotná žena,,,,,,,0,0,0,0,1
,Quartus,m.,II,Quarti,Quartum,Fourth,In the fourth position,Vierte,In der vierten Position,Štvrtý,V štvrtej pozícii,,,,,,1,0,0,0,0
,Quercus,m.,II,Querci,Quercum,Oak,Type of tree,Eiche,Art des Baumes,Dub,Typ stromu,,,,,,1,0,0,0,0
,Quintus,m.,II,Quinti,Quintum,Fifth,In the fifth position,Fünfte,In der fünften Position,Piaty,V piatej pozícii,,,,,,1,0,0,0,0
,Radix,f.,III,Radicis,Radicem,Root,Part of a plant that anchors it to the ground,Wurzel,"Teil einer Pflanze, die sie am Boden verankert",Zakorenenie,"Časť rastliny, ktorá ju ukotvuje na zem",,,,,,1,0,0,0,0
,Recens,,,,,Recent,Newly occurred,Jüngste,Neu geschehen,Posledný,Novo sa vyskytol,,,,,,0,1,0,0,0
,Recessus,m.,II,Recessi,Recessum,Recess,Indentation or small cavity,Aussparung,Eindrückung oder Kleinhöhle,Zákruta,Odsadenie alebo malá dutina,,,,,,1,0,0,0,0
,Reflexus,m.,II,Reflexi,Reflexum,Reflex,Automatic response to a stimulus,Reflex,Automatische Reaktion auf einen Stimulus,Reflexný,Automatická reakcia na stimul,,,,,,1,0,0,0,0
,Regio,f.,III,Regiois,Regionem,Region,Area or part of the body,Region,Bereich oder Teil des Körpers,Región,Oblasť tela,,,,,,1,0,0,0,0
,Remedium,n.,II,Remedii,Remedium,Remedy,Substance used to treat a condition,Abhilfe,Substanz zur Behandlung einer Erkrankung,Liek,Látka používaná na ošetrenie stavu,,,,,,1,0,0,0,0
,Resistentia,f.,I,Resistentiae,Resistentiam,Resistance,Ability to withstand something,Widerstand,"Fähigkeit, etwas standzuhalten",Odpor,Schopnosť niečoho vydržať,,,,,,1,0,0,0,0
,Restitutio,f.,III,Restitutiois,Restitutio,Restitution,Recovery to original state,Restitution,Erholung des ursprünglichen Zustands,Reštitúcia,Zotavenie do pôvodného stavu,,,,,,1,0,0,0,0
,Restitutio ad integrum,,II,Restitutio ad integri,Restitutio ad integrum,Full recovery,,Vollständige Genesung,,Úplné uzdravenie,,,,,,,0,0,0,0,1
,Retina,f.,I,Retinae,Retinam,Retina,Light-sensitive layer of the eye,Retina,Lichtempfindlichkeitsschicht des Auges,Sietnica,Vrstva oka citlivej na svetlo,,,,,,1,0,0,0,0
,Retroflexio,f.,III,Retroflexiois,Retroflexionem,Retroflexion,Folding backward,Retroflexion,Rückwärts falten,Retroflexia,Sklopenie dozadu,,,,,,1,0,0,0,0
,Rheumaticus,,,Rheumatici,Rheumaticum,Rheumatic,Relating to rheumatism,Rheumatisch,In Bezug auf Rheuma,Reumatický,Týkajúce sa reumatizmu,,,,,,0,1,0,0,0
,Rima,f.,I,Rimae,Rimam,Fissure,Slit or crack,Spalt,Schlitz oder Riss,Trhlina,Štrbina,,,,,,1,0,0,0,0
,Rotundus,m.,II,Rotundi,Rotundum,Rounded,Having a circular shape,Gerundet,Eine kreisförmige Form haben,Zaokrúhlený,Mať kruhový tvar,,,,,,1,0,0,0,0
,Ruber,,,,,Red,,Rot,,Červený,,,,,,,1,0,0,0,0
,Sacer,,,,,Sacred,Set apart for a special purpose,Heilig,Für einen besonderen Zweck auseinander setzen,Posvätný,Odlišovať osobitný účel,,,,,,1,0,0,0,0
,Sanatio,f.,III,Sanatiois,Sanationem,Healing,Process of recovering from illness,Heilung,Prozess der Erholung von Krankheit,Uzdravenie,Proces zotavovania sa z choroby,,,,,,1,0,0,0,0
,Sanatio per primam,,,,,First intention healing,,Erste Absicht Heilung,,Prvý úmysel uzdravenie,,,,,,,0,0,0,0,1
,Sanatio per secundam,,,,,Second intention healing,,Zweite Absicht Heilung,,Druhý úmysel uzdravenie,,,,,,,0,0,0,0,1
,Sacralis,,,,,Sacral,Relating to the sacrum,Sakral,In Bezug auf das Kreuzbein,Sakrálny,Týkajúce sa krížovej kosti,,,,,,0,1,0,0,0
,Sacrococcygeus,,,Sacrococcygei,Sacrococcygeum,Sacrococcygeal,Relating to the sacrum and coccyx,Sakroccygeal,Im Zusammenhang mit dem Kreuzbein und dem Kokcyx,Sat sat sacrococcygeal,Týkajúce sa krížového a coccyxu,,,,,,0,1,0,0,0
,Sanatus,m.,II,Sanati,Sanatum,Healed,Recovered from an illness,Geheilt,Von einer Krankheit erholt,Uzdravený,Uzdravené z choroby,,,,,,1,0,0,0,0
,Satis,,,,,Enough,Sufficient quantity,Genug,Ausreichende Menge,Dosť,Dostatočné množstvo,,,,,,0,1,0,0,0
,Scapula,f.,I,Scapulae,Scapulam,Scapula,Shoulder blade,Schulterblatt,Schulterblatt,Lopatka,Čepeľ,,,,,,1,0,0,0,0
,Scatula,f.,I,Scatulae,Scatulam,Box,Small container for storage,Kasten,Kleiner Behälter für die Aufbewahrung,Škatuľa,Malý nádoba na skladovanie,,,,,,1,0,0,0,0
,segment or part of any organ,,,,,Part,,Teil,,Časť,,,,,,,0,0,0,0,1
,Secundarius,,,Secundarii,Secundarium,Secondary,Secondary in order,Sekundär,Sekundär in Ordnung,Druhoradý,Sekundárne,,,,,,0,1,0,0,0
,Secundigravida,f.,I,Secundigravidae,Secundigravidam,Second-time pregnant woman,Having been pregnant once before,Zweitjährige schwangere Frau,Schon einmal schwanger gewesen,Druhá tehotná žena,Bol som tehotná raz predtým,,,,,,1,0,0,0,0
,Secundus,m.,II,Secundi,Secundum,Second,Position two,Zweite,Position zwei,Druhý,Pozícia dva,,,,,,1,0,0,0,0
,Sedativum,n.,II,Sedativi,Sedativum,Sedative,Substance used to calm,Beruhigungsmittel,Substanz zur Beruhigung verwendet,Sedatívny,Látka používaná na upokojenie,,,,,,1,0,0,0,0
,Segmentum,n.,II,Segmenti,Segmentum,Segment,Portion of a whole,Segment,Teil eines Ganzen,Segment,Časť celku,,,,,,1,0,0,0,0
,Senilis,,,,,Senile,Relating to old age,Senil,Im Zusammenhang mit dem Alter,Senilný,Týkajúce sa staroby,,,,,,0,1,0,0,0
,Sensus,m.,II,Sensi,Sensum,Sense,Ability to perceive stimuli,Sinn,"Fähigkeit, Reize wahrzunehmen",Zmysel,Schopnosť vnímať podnety,,,,,,1,0,0,0,0
,Sextus,m.,II,Sexti,Sextum,Sixth,Position six,Sechste,Position sechs,Šiesty,Pozícia šesť,,,,,,1,0,0,0,0
,Siccus,m.,II,Sicci,Siccum,Dry,Without moisture,Trocken,Ohne Feuchtigkeit,Suchý,Bez vlhkosti,,,,,,1,0,0,0,0
,Sigmoideus,m.,II,Sigmoidei,Sigmoideum,Sigmoid,"Shaped like the letter ""S""",Sigmoid,"Form wie der Buchstabe ""S""",Sigmoid,V tvare písmena „s“,,,,,,1,0,0,0,0
,Signum,n.,II,Signi,Signum,Sign,Symbol or mark,Zeichen,Symbol oder Mark,Znak,Symbol,,,,,,1,0,0,0,0
,Simplex,,,,,Simple,Not complex,Einfach,Nicht komplex,Jednoduchý,Nie zložitý,,,,,,1,0,0,0,0
,Singulus,m.,II,Singuli,Singulum,Single,One,Einzel,Eins,Slobodný,Jeden,,,,,,1,0,0,0,0
,Sinister,,,,,Left,Opposite of right,Links,Gegenteil von rechts,Vľavo,Oproti právu,,,,,,1,0,0,0,0
,Sinus,m.,II,Sini,Sinum,Sinus,Cavity or channel in the body,Sinus,Hohlraum oder Kanal im Körper,Dutina,Dutina alebo kanál v tele,,,,,,1,0,0,0,0
,Sitis,,,,,Hunger,Need for food,Hunger,Nahrungsbedürfnis,Hlad,Potreba jedla,,,,,,0,1,0,0,0
,Situs,m.,II,Siti,Situm,Position,Location of something,Position,Ort von etwas,Pozícia,Umiestnenie niečoho,,,,,,1,0,0,0,0
,In situ,,,,,In its original place,,An seinem ursprünglichen Ort,,Na pôvodnom mieste,,,,,,,0,0,0,0,1
,Solidus,m.,II,Solidi,Solidum,Solid,Not liquid or gas,Solide,Keine Flüssigkeit oder Gas,Tuhý,Nie kvapalina alebo plyn,,,,,,1,0,0,0,0
,Solubilis,,,,,Soluble,Capable of being dissolved,Löslich,"In der Lage, aufgelöst zu werden",Rozpustný,Je možné rozpustiť,,,,,,0,1,0,0,0
,Solution,,,,,Solution,Homogeneous mixture,Lösung,Homogene Mischung,Riešenie,Homogénna zmes,,,,,,1,0,0,0,0
,Somatogenes,f.,V,Somatogenesei,Somatogenesim,Somatogenesis,Development of body tissues,Somatogenese,Entwicklung von Körpergeweben,Somatogenéza,Vývoj telesných tkanív,,,,,,1,0,0,0,0
,Spatium,n.,II,Spatii,Spatium,Space,Volume or area,Raum,Volumen oder Bereich,Priestor,Objem alebo oblasť,,,,,,1,0,0,0,0
,Species,f.,V,Speciesei,Species,Species,Type or kind of organism,Spezies,Typ oder Art von Organismus,Druh,Typ organizmu,,,,,,1,0,0,0,0
,Spiralis,,,,,Spiral,Shaped like a spiral,Spiral,Wie eine Spirale geformt,Špirála,V tvare špirály,,,,,,0,1,0,0,0
,Spiritus,m.,II,Spiriti,Spiritum,Spirit,Alcoholic drink,Geist,Alkoholisches Getränk,Duchovnosť,Alkoholický nápoj,,,,,,1,0,0,0,0
,Spurius,,,Spurii,Spurium,FALSE,Not genuine,FALSCH,Nicht echt,Nepravdivý,Nie skutočný,,,,,,0,1,0,0,0
,Statim,,,,,Immediately,Without delay,Sofort,Ohne Verzögerung,Okamžite,Bezodkladne,,,,,,1,0,0,0,0
,Sternocostalis,,,,,Sternocostal,Relating to the sternum and ribs,Sternocostal,Im Zusammenhang mit dem Brustbein und den Rippen,Sternocostál,Týkajúce sa hrudnej kosti a rebier,,,,,,0,1,0,0,0
,Sub (Acc. and Abl.),,,,,Under,,Unter,,Pod,,,,,,,0,0,0,0,1
,Subclavius,,,Subclavii,Subclavium,Subclavian,Relating to the area under the clavicle,Subclavier,In Bezug auf den Bereich unter dem Schlüsselbein,Subklavián,Týkajúce sa oblasti pod kosťou,,,,,,0,1,0,0,0
,Subduralis,,,,,Subdural,Under the dura mater,Subdural,Unter der Dura Mater,Podpora,Pod dura mater,,,,,,0,1,0,0,0
,Sublingualis,,,,,Sublingual,Under the tongue,Sublingual,Unter der Zunge,Sublingválny,Pod jazykom,,,,,,0,1,0,0,0
,Submandibularis,,,,,Submandibular,Under the mandible,Submandibular,Unter dem Unterkiefer,Submandibulárny,Pod čiarou,,,,,,0,1,0,0,0
,Substantia,f.,I,Substantiae,Substantiam,Substance,Material of which something is made,Substanz,"Material, von dem etwas gemacht wird",Podstata,"Materiál, z ktorého sa niečo vyrába",,,,,,1,0,0,0,0
,Subtilis,,,,,Subtle,Fine or delicate,Subtil,Fein oder zart,Jemný,Jemné alebo jemné,,,,,,0,1,0,0,0
,Sulcus,m.,II,Sulci,Sulcum,Groove,Long narrow cut or depression,Rille,Langer schmaler Schnitt oder Depression,Drážka,Dlhý úzky rez alebo depresia,,,,,,1,0,0,0,0
,Suppositorium,n.,II,Suppositorii,Suppositorium,Suppository,Medication inserted into the body,Zäpfchen,Medikamente in den Körper eingeführt,Čapík,Lieky vložené do tela,,,,,,1,0,0,0,0
,Supraclavicularis,,,,,Supraclavicular,Above the clavicle,Supraklavikulär,Über dem Schlüsselbein,Supraclavikulárny,Nad kľúčnou kosťou,,,,,,0,1,0,0,0
,Supraorbitalis,,,,,Supraorbital,Above the eye socket,Supraorbital,Über der Augenhöhle,Supraorbitálny,Nad očnou objímkou,,,,,,0,1,0,0,0
,Supravaginalis,,,Supravaginalis,Supravaginalem,Supravaginal,Located above the vagina,Supravaginal,Befindet sich über der Vagina,Supravaginálny,Nachádza sa nad vagínou,,,,,,0,1,0,0,0
,Supremus,m.,II,Supremi,Supremum,Highest,The most elevated,Höchste,Am hochsten,Najvyšší,Najviac vyvýšené,,,,,,1,0,0,0,0
,Suspicio,f.,III,Suspiciois,Suspicione,Suspicion,Feeling of doubt or mistrust,Verdacht,Zweifel oder Misstrauen,Podozrenie,Pocit pochybností alebo nedôvery,,,,,,1,0,0,0,0
,Sympathicus,,,Sympathici,Sympathicum,Sympathetic,Relating to the autonomic nervous system,Sympathisch,In Bezug auf das autonome Nervensystem,Sympatický,Týkajúce sa autonómneho nervového systému,,,,,,0,1,0,0,0
,Systema,f.,I,Systemae,Systemam,System,System of parts working together,System,"System von Teilen, die zusammenarbeiten",Systém,"Systém častí, ktoré spolupracujú",,,,,,1,0,0,0,0
,Systemicus,,,Systemici,Systemicum,Systemic,Relating to the whole system,Systemisch,In Bezug auf das gesamte System,Systémový,Týkajúce sa celého systému,,,,,,0,1,0,0,0
,Tabula,f.,I,Tabulae,Tabulam,Tablet,Small form of medication,Tablette,Kleine Form der Medikamente,Tablet,Malá forma liekov,,,,,,1,0,0,0,0
,Tabuletta,f.,I,Tabulettae,Tabulettam,Tablet,Small form of medication,Tablette,Kleine Form der Medikamente,Tablet,Malá forma liekov,,,,,,1,0,0,0,0
,Tempora,f.,I,Temporae,Temporem,Temple,Side part of the head,Tempel,Seitenteil des Kopfes,Chrám,Bočná časť hlavy,,,,,,1,0,0,0,0
,Tenuis,,,,,Thin,Having little thickness,Dünn,Wenig Dicke haben,Tenký,Mať malú hrúbku,,,,,,0,1,0,0,0
,Tertius,,,Tertii,Tertium,Third,Position three,Dritte,Position drei,Tretiny,Pozícia tri,,,,,,0,1,0,0,0
,Thoracicus,,,Thoracici,Thoracicum,Thoracic,Relating to the chest,Thorakal,In Bezug auf die Brust,Hrudný,Týkajúce sa hrudníka,,,,,,0,1,0,0,0
,Thorax,,,,,Thorax,Chest cavity,Thorax,Brusthöhle,Hrudník,Hrudná dutina,,,,,,1,0,0,0,0
,Totalis,,,,,Total,Complete or entire,Gesamt,Vollständig oder ganz,Súčet,Kompletné alebo celé,,,,,,0,1,0,0,0
,Toxicus,m.,II,Toxici,Toxicum,Toxic,Poisonous,Giftig,Giftig,Toxický,Jedovatý,,,,,,1,0,0,0,0
,Transversus,m.,II,Transversi,Transversum,Transverse,Lying or extending across; transverse,Quer,Lügen oder sich hinüber ausdehnen; Quer,Priečny,Ležanie alebo rozširovanie; priečny,,,,,,1,0,0,0,0
,Trauma,f.,I,Traumae,Traumam,Trauma,Injury or wound,Trauma,Verletzung oder Wunde,Trauma,Zranenie alebo zranenie,,,,,,1,0,0,0,0
,Triangularis,,,,,Triangular,Shaped like a triangle,Dreieckig,Wie ein Dreieck geformt,Trojuholníkový,V tvare trojuholníka,,,,,,0,1,0,0,0
,Triplex,,,,,Triple,Three parts or layers,Verdreifachen,Drei Teile oder Schichten,Trojnásobok,Tri časti alebo vrstvy,,,,,,1,0,0,0,0
,Trochlearis,,,,,Trochlear,Relating to the trochlea,Trochlear,In Bezug auf die Trochlea,Trochlear,Týkajúce sa trochlea,,,,,,0,1,0,0,0
,Truncus,m.,II,Trunci,Truncum,Trunk,Main part of an organ or body,Stamm,Hauptteil eines Organs oder Körpers,Kmeň,Hlavná časť orgánu alebo tela,,,,,,1,0,0,0,0
,Tuba,f.,I,Tubae,Tubam,Tube,Long cylindrical organ,Rohr,Langes zylindrisches Organ,Trubica,Dlhý valcový orgán,,,,,,1,0,0,0,0
,Tuba auditiva,,I,Tuba auditivae,Tubam auditivam,Auditory tube,,Hörrohr,,Sluchová trubica,,,,,,,0,0,0,0,1
,Tuba uterina,,I,Tuba uterinae,Tubam uterinam,Fallopian tube,,Eileiter,,Vajcovod,,,,,,,0,0,0,0,1
,Tuberosus,m.,II,Tuberosi,Tuberosum,Tuberosus,Having a roughened surface,Tuberosus,Eine aufgeraute Oberfläche haben,Hľuza,Mať hrubý povrch,,,,,,1,0,0,0,0
,Tumor,m.,III,Tumoris,Tumorem,Tumor,Abnormal growth of tissue,Tumor,Abnormales Gewebewachstum,Nádor,Abnormálny rast tkaniva,,,,,,1,0,0,0,0
,Tunica,f.,I,Tunicae,Tunicam,Tunic,Layer of tissue,Tunika,Gewebeschicht,Tunika,Vrstva tkaniva,,,,,,1,0,0,0,0
,(tunica) mucosa,,I,(tunica) mucosae,(tunica) mucosam,Mucosa,,Schleimhaut,,Sliznica,,,,,,,0,0,0,0,1
,Tympanicus,,,Tympanici,Tympanicum,Tympanic,Relating to the eardrum,Tympanic,Im Zusammenhang mit dem Trommelfell,Tympanický,Týkajúce sa ušného bubienka,,,,,,0,1,0,0,0
,Ulcus,m.,II,Ulci,Ulcum,Ulcer,Open sore,Geschwür,Offene Schmerzen,Vred,Zatvárať sa,,,,,,1,0,0,0,0
,Undecimus,m.,II,Undecimi,Undecimum,Eleventh,Position eleven,Elfte,Position elf,Jedenásty,Umiestniť jedenásť,,,,,,1,0,0,0,0
,Unguentum,n.,II,Unguenti,Unguentum,Ointment,Topical medication,Salbe,Topische Medikamente,Masť,Lokálne lieky,,,,,,1,0,0,0,0
,Unguis,,,,,Nail,Hard covering of the finger or toe,Nagel,Hart bedeckende Finger oder Zeh,Prilepiť,Tvrdé krytie prsta alebo špičky,,,,,,0,1,0,0,0
,Unifocalis,,,,,Unifocal,Having a single focus,Unifokal,Einen einzigen Fokus haben,Unifokálny,Mať jediné zameranie,,,,,,0,1,0,0,0
,Universalis,,,,,Universal,Applicable to all,Universal,Anwendbar für alle,Univerzálny,Použiteľné pre všetkých,,,,,,0,1,0,0,0
,Urinarius,,,Urinarii,Urinarium,Urinary,Relating to urine,Urin,In Bezug auf Urin,Moč,Súvisiaci s močom,,,,,,0,1,0,0,0
,Urologicus,,,Urologici,Urologicum,Urological,Relating to the urinary system,Urologisch,In Bezug auf das Harnsystem,Urologický,Týkajúce sa močového systému,,,,,,0,1,0,0,0
,Valgus,m.,II,Valgi,Valgum,Valgus,Deformity causing outward angulation of a limb,Valgus,"Deformität, die nach außen Angulation eines Gliedes verursacht",Valgus,Deformita spôsobujúca smerom von z končatiny,,,,,,1,0,0,0,0
,Varus,m.,II,Vari,Varum,Varus,Deformity causing inward angulation of a limb,Varus,"Deformität, die die innere Angulation eines Gliedes verursacht",Krém,Deformita spôsobujúca dovnútra anguláciu končatiny,,,,,,1,0,0,0,0
,Vas,,,,,Vessel,Tube for transporting fluids,Schiff,Rohr zum Transport von Flüssigkeiten,Plavidlo,Trubica na transport kvapaliny,,,,,,1,0,0,0,0
,Vasodilatans,,,,,Vasodilator,Substance that dilates blood vessels,Vasodilator,"Substanz, die Blutgefäße erweitert",Vazodilatátor,"Látka, ktorá rozširuje krvné cievy",,,,,,0,0,1,0,0
,Venenum,n.,II,Veneni,Venenum,Poison,Substance harmful to living organisms,Gift,Substanz schädlich für lebende Organismen,Otráviť sa,Látka škodlivé pre živé organizmy,,,,,,1,0,0,0,0
,Venter,,,,,Abdomen,The belly area containing organs,Abdomen,Der Bauchbereich mit Organen enthält,Brucho,Oblasť brucha obsahujúcej orgány,,,,,,1,0,0,0,0
,Vertebralis,,,,,Vertebral,Relating to the vertebrae,Wirbel,In Bezug auf die Wirbel,Stavcový,Týkajúce sa stavcov,,,,,,0,1,0,0,0
,vestibularis,,,,,Vestibular,Relating to the vestibule,Vestibular,In Bezug auf das Vestibül,Vestibulárny,Týkajúce sa predsiene,,,,,,0,1,0,0,0
,Vestibulocochlearis,,,,,Vestibulocochlear,Relating to both the vestibule and cochlea,Vestibulocochlear,In Bezug auf die Vorausregelung und Cochlea,Vestibulocochleárny,Týkajúce sa predsiene a kochlea,,,,,,0,1,0,0,0
,Vestibulum,n.,II,Vestibuli,Vestibulum,Entrance,The entryway,Eingang,Der Eingang,Vstup,Vchod,,,,,,1,0,0,0,0
,Vinum,n.,II,Vini,Vinum,Wine,Alcoholic beverage made from fermented grapes,Wein,Alkoholisches Getränk aus fermentierten Trauben hergestellt,Víno,Alkoholický nápoj vyrobený z fermentovaného hrozna,,,,,,1,0,0,0,0
,Viscera,f.,I,Viscerae,Visceram,Viscera,Internal organs,Eingeweide,Interne Organe,Chvála,Vnútorné orgány,,,,,,1,0,0,0,0
,Visceralis,,,,,Visceral,Relating to the internal organs,Viszeral,In Bezug auf die internen Organe,Viscerálny,Týkajúce sa vnútorných orgánov,,,,,,0,1,0,0,0
,Visus,m.,II,Visi,Visum,Vision,Ability to see,Vision,Fähigkeit zu sehen,Zjavenie,Schopnosť vidieť,,,,,,1,0,0,0,0
,Vitrum,n.,II,Vitri,Vitrum,Glass,Transparent material,Glas,Transparentes Material,Pohár,Priehľadný materiál,,,,,,1,0,0,0,0
,Vulgaris,,,,,Common,Ordinary or widespread,Gemeinsam,Gewöhnlich oder weit verbreitet,Bežný,Bežné alebo rozšírené,,,,,,0,1,0,0,0
,Vulnus,m.,II,Vulni,Vulnus,Wound,Injury to body tissue,Wunde,Körpergewebeverletzung,Rana,Poranenie telesného tkaniva,,,,,,1,0,0,0,0
